cas,chemical_name,canonical_smiles,log_kow,water_solubility_mg_l,mw_g_mol,test,aster,irac_moa,efsa_selection_criteria,kramer_moa,test_moa_reduced,aster_moa_reduced,kramer_moa_reduced,efsa_moa_reduced,irac_moa_reduced
99763,Methylparaben,COC(=O)C1=CC=C(O)C=C1,1.96,2500,152.15,Narcosis,Ester narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
99718,4-(Butan-2-yl)phenol,CCC(C)C1=CC=C(O)C=C1,3.08,960,150.22,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99685968,Fullerene C60,C=12C3=C4C5=C6C=1C1=C7C8=C2C2=C9C%10=C8C8=C%11C%12=C%10C%10=C%13C%14=C%15C(C(=C32)C2=C4C3=C4C(=C%152)C2=C%14C%14=C%15C%16=C2C4=C2C(=C53)C3=C6C1=C1C(=C78)C4=C%11C(C%12=C%13%14)=C%15C5=C4C1=C3C2=C%165)=C9%10,NA,NA,720.64,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99661,Valproic acid,CCCC(CCC)C(O)=O,2.75,2000,144.22,Narcosis,Nonpolar narcosis,NA,NA,"Neuroactive, Nucleic acid damage",Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
99650,"1,3-Dinitrobenzene",[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,1.49,533,168.11,Out of domain,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
99616,3-Nitrobenzaldehyde,[O-][N+](=O)C1=CC=CC(C=O)=C1,1.47,1630,151.12,Narcosis,Carbonyl reactivity (aldehyde eq. #1),NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99569,"4-Nitro-1,2-phenylenediamine",NC1=C(N)C=C(C=C1)[N+]([O-])=O,0.88,13000,153.13999999999999,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
99558,2-Methyl-5-nitroaniline,CC1=C(N)C=C(C=C1)[N+]([O-])=O,1.87,10000,152.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99547,"3,4-Dichloronitrobenzene",[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1,3.12,121,192,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99525,2-Methyl-4-nitroaniline,CC1=CC(=CC=C1N)[N+]([O-])=O,2.02,1400,152.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99514,"1,2-Dimethyl-4-nitrobenzene",CC1=CC=C(C=C1C)[N+]([O-])=O,2.91,100,151.16999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99503,"3,4-Dihydroxybenzoic acid",OC(=O)C1=CC(O)=C(O)C=C1,0.86,18200,154.12,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99354,"1,3,5-Trinitrobenzene",[O-][N+](=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,1.18,492,213.11,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99309,Dicloran,NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,2.8,6.3,207.02,Out of domain,Nonpolar narcosis,NA,NA,"Respiratory system, Lipid metabolism",Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
99300784,Venlafaxine hydrochloride,Cl.COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,3.2,312,277.41000000000003,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99285,"2,6-Dibromo-4-nitrophenol",OC1=C(Br)C=C(C=C1Br)[N+]([O-])=O,3.57,43.5,296.89999999999998,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99129212,Clethodim,CCSC(C)CC1CC(O)=C(\C(CC)=N\OC\C=C\Cl)C(=O)C1,4.21,1.36,359.91,Narcosis,Nonpolar narcosis,NA,NA,Lipid metabolism,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
99116,Citrazinic acid,OC(=O)C1=CC(=O)NC(O)=C1,-0.81,353000,155.11000000000001,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99105,"Benzoic acid, 3,5-dihydroxy-",OC(=O)C1=CC(O)=CC(O)=C1,0.86,51000,154.12,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99092,3-Nitroaniline,NC1=CC(=CC=C1)[N+]([O-])=O,1.37,1200,138.13,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99081,3-Nitrotoluene,CC1=CC(=CC=C1)[N+]([O-])=O,2.4500000000000002,450,137.13999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99069,3-Hydroxybenzoic acid,OC(=O)C1=CC(O)=CC=C1,1.5,7250,138.12,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99047,3-Methylbenzoic acid,CC1=CC=CC(=C1)C(O)=O,2.37,980,136.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99036,3-Aminoacetophenone,CC(=O)C1=CC=CC(N)=C1,0.83,17100,135.16999999999999,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
98986,Picolinic acid,OC(=O)C1=CC=CC=N1,0.72,960000,123.11,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98967409,Flumetsulam,CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F,1.5,49,325.29000000000002,Narcosis,Nonpolar narcosis,NA,NA,Protein biosynthesis inhibition,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
98953,Nitrobenzene,[O-][N+](=O)C1=CC=CC=C1,1.85,2090,123.11,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
98886443,Fosthiazate,CCOP(=O)(SC(C)CC)N1CCSC1=O,1.68,9850,283.33999999999997,AChE inhibition,OP mediated AChE inhibition,organophosphates,NA,Neuromuscular system,AChE inhibition,OP mediated AChE inhibition,Non-neurotoxic,NA,organophosphates
98884,Benzoyl chloride,ClC(=O)C1=CC=CC=C1,1.44,4940,140.57,Narcosis,Acylation based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98873,Benzal chloride,ClC(Cl)C1=CC=CC=C1,2.97,250,161.03,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98862,Acetophenone,CC(=O)C1=CC=CC=C1,1.58,6130,120.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98839,alpha-Methylstyrene,CC(=C)C1=CC=CC=C1,3.48,116,118.18,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98828,Cumene,CC(C)C1=CC=CC=C1,3.66,61.3,120.2,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
98737,4-tert-Butylbenzoic acid,CC(C)(C)C1=CC=C(C=C1)C(O)=O,3.85,28,178.23,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98599,p-Toluenesulfonyl chloride,CC1=CC=C(C=C1)S(Cl)(=O)=O,3.49,51.2,190.65,Narcosis,Sulfhydryl based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98555,alpha-Terpineol,CC1=CCC(CC1)C(C)(C)O,3.28,1980,154.25,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98544,4-tert-Butylphenol,CC(C)(C)C1=CC=C(O)C=C1,3.31,580,150.22,Narcosis,Nonpolar narcosis,NA,NA,Endocrine,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
98511,4-tert-Butyltoluene,CC1=CC=C(C=C1)C(C)(C)C,5.17,2.97,148.25,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98339,"Benzenesulfonic acid, 4-amino-3-methyl-",CC1=C(N)C=CC(=C1)S(O)(=O)=O,-1.53,10400,187.21,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98179,3-(Trifluoromethyl)phenol,OC1=CC(=CC=C1)C(F)(F)F,2.95,770,162.11000000000001,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98168,3-(Trifluoromethyl)aniline,NC1=CC(=CC=C1)C(F)(F)F,2.29,5460,161.13,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98135,Trichlorophenylsilane,Cl[Si](Cl)(Cl)C1=CC=CC=C1,3.6,31.9,211.55,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98113,Benzenesulfonic acid,OS(=O)(=O)C1=CC=CC=C1,-1.17,690000,158.16999999999999,Out of domain,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
98099,Benzenesulfonyl chloride,ClS(=O)(=O)C1=CC=CC=C1,2.94,176,176.62,Out of domain,Sulfhydryl based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98088,Benzotrifluoride,FC(F)(F)C1=CC=CC=C1,3.01,140,146.11000000000001,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98079517,Lomefloxacin,CCN1C=C(C(O)=O)C(=O)C2=C1C(F)=C(N1CCNC(C)C1)C(F)=C2,-0.3,27200,351.36,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98066,tert-Butylbenzene,CC(C)(C)C1=CC=CC=C1,4.1100000000000003,29.5,134.22,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
98044,Phenyltrimethylammonium iodide,[I-].C[N+](C)(C)C1=CC=CC=C1,-0.97,574000,137.22999999999999,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98011,Furfural,O=CC1=CC=CO1,0.41,74100,96.09,Narcosis,Carbonyl reactivity (aldehyde eq. #1),NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
98000,Furfuryl alcohol,OCC1=CC=CO1,0.28000000000000003,1000000,98.1,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97994,Tetrahydrofurfuryl alcohol,OCC1CCCO1,-0.11,1000000,102.13,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97886458,Dithiopyr,CSC(=O)C1=C(N=C(C(C(=O)SC)=C1CC(C)C)C(F)(F)F)C(F)F,4.75,1.4,401.41,Out of domain,Nonpolar narcosis,NA,NA,Mitosis/Cell cycle,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
97881,Butyl methacrylate,CCCCOC(=O)C(C)=C,2.88,800,142.19999999999999,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97803,"Ethanesulfonic acid, 2-[methyl[(9Z)-1-oxo-9-octadecen-1-yl]amino]-",CCCCCCCC\C=C/CCCCCCCC(=O)N(C)CCS(O)(=O)=O,4.43,0.47499999999999998,403.63,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97780068,Ethametsulfuron-methyl,CCOC1=NC(NC)=NC(NC(=O)NS(=O)(=O)C2=C(C=CC=C2)C(=O)OC)=N1,1.59,1.7,410.41,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97778,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,3.88,4.09,296.52,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97745,Tetramethylthiuram monosulfide,CN(C)C(=S)SC(=S)N(C)C,0.75,92500,208.36,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
97643,Ethyl lactate,CCOC(=O)C(C)O,-0.18,1000000,118.13,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97632,Ethyl methacrylate,CCOC(=O)C(C)=C,1.94,5400,114.15,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97610,2-Methylpentanoic acid,CCCC(C)C(O)=O,1.8,15000,116.16,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97553907,"Methanol, (((1-methyl-2-(5-methyl-3-oxazolidinyl)ethoxy)methoxy)methoxy)-",CC(CN1COC(C)C1)OCOCOCO,-1.72,1000000,235.28,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97530,Eugenol,COC1=C(O)C=CC(CC=C)=C1,2.4900000000000002,2460,164.21,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97507,"5-Chloro-2,4-dimethoxyaniline",COC1=CC(OC)=C(Cl)C=C1N,1.45,2920,187.63,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97392,"1,3-Bis(2-methylphenyl)guanidine",CC1=CC=CC=C1NC(=N)NC1=C(C)C=CC=C1,3.99,10.6,239.32,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
973217,Dinobuton,CCC(C)C1=CC(=CC(=C1OC(=O)OC(C)C)[N+]([O-])=O)[N+]([O-])=O,3.94,1.51,326.31,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
97234,Dichlorophen,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,4.26,30,269.13,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
97176,Dichlofenthion,CCOP(=S)(OCC)OC1=CC=C(Cl)C=C1Cl,5.14,0.245,315.14999999999998,AChE inhibition,OP mediated AChE inhibition,NA,NA,Neuromuscular system,AChE inhibition,OP mediated AChE inhibition,Non-neurotoxic,NA,NA
97110,Cyclethrin,CC(C)=CC1C(C(=O)OC2CC(=O)C(C3CCC=C3)=C2C)C1(C)C,6.23,3.9699999999999999E-2,328.46,Neurotoxicity,Neurotoxicant: Pyrethroid,NA,NA,NA,Neurotoxicity,Neurotoxicant: Pyrethroid,NA,NA,NA
97029,"2,4-Dinitroaniline",NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,1.84,1440,183.12,Out of domain,Nonpolar narcosis,NA,NA,Respiratory system,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
97007,"1-Chloro-2,4-dinitrobenzene",[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,2.17,9.24,202.55,Out of domain,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
96913,"2-Amino-4,6-dinitrophenol",NC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,0.93,1400,199.12,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96800,2-(Diisopropylamino)ethanol,CC(C)N(CCO)C(C)C,0.88,12000,145.25,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96764,"2,4-Di-tert-butylphenol",CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C,5.19,35,206.33,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
965935,Methyltrienolone,[H][C@@]12CC[C@](C)(O)[C@@]1(C)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],3.1,111,284.39999999999998,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96489713,Pyridaben,CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O,6.37,1.2E-2,364.94,Narcosis,Nonpolar narcosis,NA,NA,Respiratory system,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
96457,Ethylene thiourea,S=C1NCCN1,-0.66,27400,102.15,Narcosis,Nonpolar narcosis,NA,in vivo data available,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,No categorization,NA
96413,Cyclopentanol,OC1CCCC1,1.1499999999999999,43200,86.13,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96333,Methyl acrylate,COC(=O)C=C,0.8,49400,86.09,Narcosis,Acrylate toxicity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96300979,Triphenyl phosphate-2-isopropylphenyl diphenyl phosphate mixt.,CC(C)c1ccccc1OP(=O)(Oc2ccccc2)Oc3ccccc3.O=P(Oc4ccccc4)(Oc5ccccc5)Oc6ccccc6,6.16,2.6499999999999999E-2,368.37,AChE inhibition,Out of domain,NA,NA,NA,AChE inhibition,Non-neurotoxic,NA,NA,NA
96300957,Triphenyl phosphate-isodecyl diphenyl phosphate mixt.,CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc2ccccc2.O=P(Oc3ccccc3)(Oc4ccccc4)Oc5ccccc5,5.44,0.75,390.46,AChE inhibition,Out of domain,NA,NA,NA,AChE inhibition,Non-neurotoxic,NA,NA,NA
96297,2-Butanone oxime,CCC(C)=NO,0.63,100000,87.12,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
962583,Diazoxon,CCOP(=O)(OCC)OC1=NC(=NC(C)=C1)C(C)C,2.0699999999999998,245,288.29000000000002,AChE inhibition,OP mediated AChE inhibition,NA,NA,unknown,AChE inhibition,OP mediated AChE inhibition,Non-neurotoxic,NA,NA
96242,"3-Chloro-1,2-propanediol",OCC(O)CCl,-0.53,1000000,110.54,Narcosis,B-Halogenated alcohol based inhibition,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96231,"1,3-Dichloro-2-propanol",OC(CCl)CCl,0.78,99000,128.99,Narcosis,B-Halogenated alcohol based inhibition,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96220,3-Pentanone,CCC(=O)CC,0.99,45900,86.13,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96184,"1,2,3-Trichloropropane",ClCC(Cl)CCl,2.27,1750,147.43,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96182535,Tebupirimfos,CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,4.1900000000000004,5.5,318.37,AChE inhibition,OP mediated AChE inhibition,organophosphates,NA,Neuromuscular system,AChE inhibition,OP mediated AChE inhibition,Non-neurotoxic,NA,organophosphates
96173,2-Methylbutanal,CCC(C)C=O,1.23,11200,86.13,Reactivity,Carbonyl reactivity (aldehyde eq. #3),NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96139,"2,3-Dibromopropanol",OCC(Br)CBr,0.96,52000,217.89,Narcosis,B-Halogenated alcohol based inhibition,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96128,"1,2-Dibromo-3-chloropropane",ClCC(Br)CBr,2.96,1230,236.33,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
961115,Tetrachlorovinphos,COP(=O)(OC)OC(=CCl)C1=C(Cl)C=C(Cl)C(Cl)=C1,3.53,11,365.97,AChE inhibition,OP mediated AChE inhibition,NA,NA,NA,AChE inhibition,OP mediated AChE inhibition,NA,NA,NA
96093,Styrene oxide,C1OC1C1=CC=CC=C1,1.61,3000,120.15,Narcosis,Alkylation / arylation based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
96059,Allyl methacrylate,CC(=C)C(=O)OCC=C,2.12,1470,126.16,Reactivity,Reactive difunctional acrylate,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
959988,Endosulfan I,ClC1=C(Cl)[C@]2(Cl)[C@@H]3COS(=O)OC[C@@H]3[C@@]1(Cl)C2(Cl)Cl,3.83,0.45,406.92,Neurotoxicity,Neurotoxicant: Cyclodiene-type,gaba_gated_chloride_channel_blockers_cyclodiene_organochlorines,NA,Neuroactive,Neurotoxicity,Neurotoxicant: Cyclodiene-type,Neuroactive,NA,irac_moa_other
95977290,Haloxyfop-P,C[C@@H](Oc1ccc(Oc2ncc(cc2Cl)C(F)(F)F)cc1)C(=O)O,3.38,43.4,361.71,Narcosis,Nonpolar narcosis,NA,NA,Lipid metabolism,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
95954,"2,4,5-Trichlorophenol",OC1=C(Cl)C=C(Cl)C(Cl)=C1,3.72,882,197.45,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
95943,"1,2,4,5-Tetrachlorobenzene",ClC1=CC(Cl)=C(Cl)C=C1Cl,4.6399999999999997,0.59499999999999997,215.89,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
95932,"1,2,4,5-Tetramethylbenzene",CC1=CC(C)=C(C)C=C1C,4,3.48,134.22,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
95921,Diethyl oxalate,CCOC(=O)C(=O)OCC,0.56000000000000005,36000,146.13999999999999,Narcosis,Diester toxicity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
95885,4-Chlororesorcinol,OC1=CC=C(Cl)C(O)=C1,1.8,8840,144.56,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
95874,"2,5-Dimethylphenol",CC1=CC(O)=C(C)C=C1,2.33,3540,122.17,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
95841,2-Amino-4-methylphenol,CC1=CC=C(O)C(N)=C1,1.1599999999999999,9980,123.16,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
95829,"2,5-Dichloroaniline",NC1=C(Cl)C=CC(Cl)=C1,2.75,300,162.02000000000001,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
95818,"Benzenamine, 2-chloro-5-methyl-",CC1=CC(N)=C(Cl)C=C1,2.27,954,141.6,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
95807,"2,4-Diaminotoluene",CC1=C(N)C=C(N)C=C1,0.14000000000000001,74800,122.17,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
